カフェオレ（H/I）,カフェオレ（H/I）,10089,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10089,4,4,0,,,,
紅茶,紅茶,10089,4,5,0,,,,
アイスティー,アイスティー,10089,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10089,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10089,4,8,0,,,,
エスプレッソ,エスプレッソ,10089,4,9,0,,,,
オレンジジュース,オレンジジュース,10089,4,10,0,,,,
アップルジュース,アップルジュース,10089,4,11,0,,,,
ミックスジュース,ミックスジュース,10089,4,12,0,,,,
トマトジュース,トマトジュース,10089,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10089,4,14,0,,,,
コーラ,コーラ,10089,4,15,0,,,,
ウーロン茶,ウーロン茶,10089,4,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10089,4,17,0,-300,-300,-300,
セット飲物,セット飲物,10090,4,0,0,,,,
ホットコーヒー,ホットコーヒー,10090,4,1,0,,,,
アイスコーヒー,アイスコーヒー,10090,4,2,0,,,,
カフェオレ（H/I）,カフェオレ（H/I）,10090,4,3,0,,,,
カプチーノ（H/I）,カプチーノ（H/I）,10090,4,4,0,,,,
紅茶,紅茶,10090,4,5,0,,,,
アイスティー,アイスティー,10090,4,6,0,,,,
アップルティー（H/I）,アップルティー（H/I）,10090,4,7,0,,,,
ロイヤルミルクティー（H/I）,ロイヤルミルクティー（H/I）,10090,4,8,0,,,,
エスプレッソ,エスプレッソ,10090,4,9,0,,,,
オレンジジュース,オレンジジュース,10090,4,10,1,,,,
アップルジュース,アップルジュース,10090,4,11,0,,,,
ミックスジュース,ミックスジュース,10090,4,12,0,,,,
トマトジュース,トマトジュース,10090,4,13,0,,,,
クラブソーダ,ｸﾗﾌﾞｿｰﾀﾞ,10090,4,14,0,,,,
コーラ,コーラ,10090,4,15,0,,,,
ウーロン茶,ウーロン茶,10090,4,16,0,,,,
無し・アルコールに変更,無し・アルコールに変更,10090,4,17,0,-300,-300,-300,
デザート,デザート,10002,5,0,0,,,,
アイスクリーム,アイスクリーム,10002,5,1,0,,,,
ミニパンケーキ,ミニパンケーキ,10002,5,2,0,,,,
みたらし団子,みたらし団子,10002,5,3,0,,,,
特製杏仁豆腐,特製杏仁豆腐,10002,5,4,0,,,,
デザート,デザート,10082,5,0,0,,,,
アイスクリーム,アイスクリーム,10082,5,1,1,,,,
ミニパンケーキ,ミニパンケーキ,10082,5,2,0,,,,
みたらし団子,みたらし団子,10082,5,3,0,,,,
特製杏仁豆腐,特製杏仁豆腐,10082,5,4,0,,,,
デザート,デザート,10087,5,0,0,,,,
アイスクリーム,アイスクリーム,10087,5,1,0,,,,
ミニパンケーキ,ミニパンケーキ,10087,5,2,0,,,,
みたらし団子,みたらし団子,10087,5,3,0,,,,
特製杏仁豆腐,特製杏仁豆腐,10087,5,4,0,,,,
デザート,デザート,10088,5,0,0,,,,
アイスクリーム,アイスクリーム,10088,5,1,0,,,,
ミニパンケーキ,ミニパンケーキ,10088,5,2,0,,,,
みたらし団子,みたらし団子,10088,5,3,0,,,,
